scene,method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
Instance_1/Lounge,uniform,3,0,0.5734624266624451,0.7288873195648193,0.5723416805267334,0.7273727655410767
Instance_1/Lounge,nbv,3,0,0.5582160949707031,0.7142216563224792,0.5009470582008362,0.6657276749610901
Instance_1/Lounge,random,3,0,0.5578174591064453,0.7154616713523865,0.5184398889541626,0.6802867650985718
Instance_1/Lounge,random,3,1,0.6182260513305664,0.7639382481575012,0.5458933115005493,0.703633725643158
Instance_1/Lounge,uniform,5,0,0.5843995809555054,0.7373340129852295,0.5811772346496582,0.7347063422203064
Instance_1/Lounge,nbv,5,0,0.4882082939147949,0.6497851610183716,0.47987425327301025,0.6469587683677673
Instance_1/Lounge,random,5,0,0.49309808015823364,0.6548603773117065,0.4898830056190491,0.6537418365478516
Instance_1/Lounge,random,5,1,0.622068464756012,0.7654571533203125,0.5540465712547302,0.7116630673408508
Instance_1/Lunch_room,all,25,0,0.3848434388637543,0.536365270614624,0.3713957667350769,0.5264613032341003
Instance_1/Lunch_room,uniform,3,0,0.4406295716762543,0.6077677607536316,0.25647029280662537,0.38626375794410706
Instance_1/Lunch_room,nbv,3,0,0.34931692481040955,0.5149237513542175,0.21266350150108337,0.3305492401123047
Instance_1/Lunch_room,random,3,0,0.35916340351104736,0.5108426809310913,0.3566199839115143,0.5097930431365967
Instance_1/Lunch_room,random,3,1,0.584987223148346,0.7210021018981934,0.2998425364494324,0.43085089325904846
Instance_1/Lunch_room,uniform,5,0,0.46319645643234253,0.6015652418136597,0.3599482476711273,0.5015722513198853
Instance_1/Lunch_room,nbv,5,0,0.27309656143188477,0.4172166883945465,0.24816057085990906,0.37968650460243225
Instance_1/Lunch_room,random,5,0,0.3939729332923889,0.552762508392334,0.3593020737171173,0.5124409198760986
Instance_1/Lunch_room,random,5,1,0.3670126497745514,0.505905270576477,0.34868526458740234,0.5030686855316162
Instance_1/Meeting_room,all,25,0,0.49607616662979126,0.6584085822105408,0.5156073570251465,0.6762415170669556
Instance_1/Meeting_room,uniform,3,0,0.4391902983188629,0.6087736487388611,0.43799105286598206,0.6013126969337463
Instance_1/Meeting_room,nbv,3,0,0.5434686541557312,0.7000918388366699,0.5060393810272217,0.6666609048843384
Instance_1/Meeting_room,random,3,0,0.47895121574401855,0.6438124775886536,0.4085644483566284,0.5723640322685242
Instance_1/Meeting_room,random,3,1,0.583549439907074,0.7364699244499207,0.3559063971042633,0.506838321685791
Instance_1/Meeting_room,uniform,5,0,0.481096088886261,0.6449101567268372,0.48583611845970154,0.6500244140625
