scene,scalar,spearman_tp_purity,weighted_spearman,auroc_tp_supported,n_valid,frac_tp_supported
Pots,verification,-0.4803893673952927,-0.12125434892502852,0.3136276354547889,8715,0.2438324727481354
Printing_area,m,0.27982253735811813,0.1425324303251725,0.6954348071273179,13880,0.655907780979827
Printing_area,a,0.17706525541024112,0.1435148632474931,0.6597330392810568,13880,0.655907780979827
Printing_area,b,-0.19972188297352145,0.034941465934991325,0.39585803394535657,13880,0.655907780979827
Printing_area,kappa,0.05669651929486486,0.1279204952071679,0.5824858079574793,13880,0.655907780979827
Printing_area,e_pos,0.17706525541024112,0.1435148632474931,0.6597330392810568,13880,0.655907780979827
Printing_area,e_neg,-0.19972188297352145,0.034941465934991325,0.39585803394535657,13880,0.655907780979827
Printing_area,support,0.05669651929486486,0.1279204952071679,0.5824858079574793,13880,0.655907780979827
Printing_area,n_view,0.07936328833732506,0.1467235613310731,0.5865936531294433,13880,0.655907780979827
Printing_area,agreement,0.1999073683711832,0.16222390523546057,0.5996150844291758,13880,0.655907780979827
Printing_area,uncertainty,-0.29244652895222994,0.03495883238384449,0.2931958737374629,13880,0.655907780979827
Printing_area,cue_variance,-0.021118235367422352,0.11446608667071961,0.505616583392946,13880,0.655907780979827
Printing_area,pos_neg_ratio,0.29710988821495143,0.14710511500011433,0.6866148487384197,13880,0.655907780979827
Printing_area,loo_min,0.18042794281375732,0.15349366160789055,0.5889222952783837,13880,0.655907780979827
Printing_area,loo_median,0.21071402075931508,0.16632297235957272,0.6058030017177275,13880,0.655907780979827
Printing_area,loo_max,0.20115544530168197,0.1703633594547588,0.5982765366448528,13880,0.655907780979827
Printing_area,n_agree,0.07769424747336164,0.1501729018523453,0.585311866155617,13880,0.655907780979827
Printing_area,n_conflict,0.052175009151157435,0.13287822708352764,0.528905189759577,13880,0.655907780979827
Printing_area,n_loo_valid,0.08139253431656332,0.15378239280002878,0.5876188895193601,13880,0.655907780979827
Printing_area,observability,0.08117586532978667,0.12175311554814525,0.6033382992142905,13880,0.655907780979827
Printing_area,g_raw,0.07306900408453773,0.12124429787900996,0.6008312790887654,13880,0.655907780979827
Printing_area,eig_min,0.13205067265156728,0.13753079764936843,0.6340239109283972,13880,0.655907780979827
Printing_area,eig_max,0.01885561236678386,0.1096131387271201,0.568833108129988,13880,0.655907780979827
Printing_area,condition,-0.21750149124558335,0.08830544733188189,0.3520878364802925,13880,0.655907780979827
Printing_area,n_dir_obs,0.1493523809271727,0.18153739550824224,0.6156365821491758,13880,0.655907780979827
Printing_area,c_raw,0.23667465784225197,0.16120744477430743,0.690572857330001,13880,0.655907780979827
Printing_area,confidence,0.15664041375851442,0.14909649305808167,0.6424577440144483,13880,0.655907780979827
Printing_area,verification,-0.04371620044375294,0.1154422471540273,0.4220353239910743,13880,0.655907780979827
Zen,m,-0.1130469960285655,-0.09210428977925929,0.5066712375774893,79984,0.1300885177035407
Zen,a,0.48439353823652165,0.004054571348825007,0.860829158278278,79984,0.1300885177035407
Zen,b,0.3874295541200096,-0.011598590903873935,0.712875679934553,79984,0.1300885177035407
Zen,kappa,0.5093589231170864,0.013050105692076885,0.8543701319901608,79984,0.1300885177035407
Zen,e_pos,0.48439353823652165,0.004054571348825007,0.860829158278278,79984,0.1300885177035407
Zen,e_neg,0.3874295541200096,-0.011598590903873935,0.712875679934553,79984,0.1300885177035407
Zen,support,0.5093589231170864,0.013050105692076885,0.8543701319901608,79984,0.1300885177035407
Zen,n_view,0.5315411628400848,0.02008865165072148,0.8779044081132176,79984,0.1300885177035407
