scene,phase,combo,miou_query,f1_query
Lunch_room,local3,1-4-10-17-20,0.356739,0.505232
Printing_area,local3,1-4-13-21-24,0.533179,0.682452
Zen,local3,2-14-15-18-23,0.533294,0.689348
Printing_area,local3,0-8-20-23-24,0.535855,0.687536
Lunch_room,local3,1-8-9-15-23,0.368523,0.512620
Zen,local3,1-3-4-11-18,0.343747,0.475216
Printing_area,local3,13-15-19-23-24,0.604967,0.740077
Zen,local3,2-7-8-21-23,0.491719,0.651939
Lunch_room,local3,0-1-5-8-20,0.392452,0.541873
Printing_area,local3,7-14-19-23-24,0.606952,0.743279
Zen,local3,2-5-15-18-23,0.543459,0.697190
Lunch_room,local3,1-8-12-16-20,0.362564,0.508162
Printing_area,local3,13-14-19-20-23,0.645132,0.772109
Zen,local3,2-9-11-18-23,0.562655,0.716231
Printing_area,local3,9-13-19-20-23,0.646032,0.772579
Lunch_room,local3,1-2-7-8-20,0.371522,0.517647
