scene,frame,tox_mass,tox_frac,support,cue_area,marginal,tox_rank,known_toxic
Lounge,21,153677.64,0.9062,0.1139,169586.39,-0.00626,6,False
Lounge,22,210008.59,0.9416,0.0719,223041.66,-0.01742,1,False
Lounge,23,113972.40,0.9202,0.0936,123856.43,-0.00783,19,False
Lounge,24,156455.05,0.8984,0.1206,174156.84,0.00291,3,False
Lunch_room,0,157645.53,0.9618,0.0480,163906.59,0.00818,18,False
Lunch_room,1,166305.19,0.9556,0.0549,174039.97,0.05586,17,False
Lunch_room,2,177707.22,0.9661,0.0424,183940.83,0.01148,9,False
Lunch_room,3,171611.81,0.9787,0.0256,175346.34,-0.00392,13,False
Lunch_room,4,226186.59,0.9843,0.0184,229804.00,-0.01717,1,False
Lunch_room,5,192206.58,0.9711,0.0346,197927.69,0.01927,4,False
Lunch_room,6,174368.45,0.9728,0.0366,179239.78,0.00373,12,False
Lunch_room,7,154870.19,0.9945,0.0066,155733.11,-0.02927,19,False
Lunch_room,8,174963.08,0.9633,0.0458,181624.48,-0.00874,11,False
Lunch_room,9,145508.70,0.9535,0.0549,152598.75,-0.00923,22,False
Lunch_room,10,121758.45,0.9416,0.0703,129309.62,-0.03565,25,False
Lunch_room,11,149238.72,0.8723,0.1612,171084.08,-0.01861,21,False
