scene,phase,combo,miou_query,f1_query
Meeting_room,local3,0-4-9-12-14,0.502438,0.663728
Lounge,local3,1-5-6-11-18,0.503251,0.665248
Playground,local3,0-1-4-15-16,0.362074,0.519983
Lunch_room,local3,2-3-5-6-12,0.369931,0.522634
Cantina,local3,10-13-14-15-18,0.467887,0.619479
Pots,local3,1-9-17-20-24,0.605265,0.749263
Garden,local3,2-5-10-15-17,0.518536,0.681657
Porch,local3,4-6-9-14-19,0.546497,0.692040
Meeting_room,local3,4-7-9-16-18,0.503537,0.662114
Lounge,local3,6-10-11-18-22,0.518581,0.680706
Playground,local3,0-1-2-15-18,0.394434,0.554274
Lunch_room,local3,1-3-5-10-11,0.386739,0.542267
Cantina,local3,3-13-14-18-21,0.466830,0.630585
Pots,local3,1-8-9-17-20,0.590431,0.737846
Garden,local3,5-12-13-15-16,0.504292,0.669890
Meeting_room,local3,9-12-16-17-20,0.491503,0.651771
Lounge,local3,1-5-6-14-21,0.480371,0.645070
Porch,local3,2-4-9-14-24,0.553235,0.702221
Playground,local3,1-6-11-15-23,0.429581,0.587559
Lunch_room,local3,3-9-11-18-24,0.294200,0.437601
Cantina,local3,3-14-15-18-21,0.438849,0.603833
Pots,local3,1-13-20-21-24,0.544730,0.696730
Garden,local3,10-12-15-16-24,0.505268,0.669952
Meeting_room,local3,2-8-9-15-16,0.497284,0.658882
Lounge,local3,7-10-11-15-18,0.457428,0.624911
Porch,local3,2-9-14-19-24,0.534386,0.679544
Playground,local3,3-11-16-18-21,0.314999,0.461583
Lunch_room,local3,1-5-7-16-21,0.388577,0.538066
Cantina,local3,10-11-13-14-15,0.452369,0.604927
Pots,local3,1-9-12-16-24,0.591588,0.739786
Garden,local3,1-5-15-22-24,0.406530,0.574749
Meeting_room,local3,0-8-9-16-22,0.483215,0.646883
Lounge,local3,5-6-7-10-11,0.510966,0.674195
Porch,local3,4-9-14-19-20,0.571075,0.720112
Playground,local3,0-3-7-11-21,0.417811,0.575904
Cantina,local3,3-12-18-19-23,0.452834,0.617828
Pots,local3,1-4-14-17-24,0.567676,0.714725
Lunch_room,local3,1-2-3-4-5,0.356208,0.506910
Meeting_room,local3,1-3-4-19-22,0.467525,0.632061
Garden,local3,5-10-14-15-16,0.532486,0.694109
Lounge,local3,5-9-10-11-18,0.493493,0.658467
Porch,local3,9-14-19-20-24,0.563189,0.710632
Playground,local3,2-11-15-18-19,0.342050,0.489569
Cantina,local3,4-10-11-12-14,0.401772,0.553535
Pots,local3,1-3-17-20-24,0.589399,0.733118
Meeting_room,local3,4-16-19-20-22,0.493208,0.653459
Lounge,local3,6-10-11-13-18,0.521714,0.683623
Lunch_room,local3,3-5-6-11-23,0.316738,0.457420
Garden,local3,5-7-14-15-16,0.519907,0.682745
Porch,local3,0-9-12-14-19,0.425137,0.582612
Playground,local3,3-8-11-15-23,0.338386,0.483697
Cantina,local3,3-6-10-16-17,0.438006,0.603206
Pots,local3,7-15-17-20-24,0.573894,0.723961
Meeting_room,local3,5-8-9-16-22,0.494532,0.656071
Lounge,local3,5-6-7-11-17,0.503626,0.667388
Garden,local3,0-5-10-14-16,0.510680,0.675371
Lunch_room,local3,3-5-6-11-22,0.316940,0.455314
Porch,local3,4-11-14-19-24,0.588808,0.735674
Playground,local3,0-9-15-19-21,0.376273,0.536863
Cantina,local3,10-13-14-18-23,0.480301,0.634249
Pots,local3,7-15-17-18-24,0.569654,0.720637
Meeting_room,local3,0-2-7-16-22,0.464254,0.628576
Lounge,local3,2-5-6-11-18,0.475513,0.639866
Garden,local3,12-14-15-17-24,0.519286,0.682586
Porch,local3,4-9-13-19-21,0.534597,0.694068
Playground,local3,0-2-13-15-18,0.415742,0.575005
Lunch_room,local3,3-4-5-8-11,0.275115,0.404862
Cantina,local3,3-6-10-14-18,0.468751,0.629849
Meeting_room,local3,4-5-13-14-22,0.459105,0.622789
Lounge,local3,4-5-6-10-18,0.466135,0.632832
Pots,local3,1-8-13-17-20,0.561198,0.712299
Garden,local3,10-13-14-15-16,0.506745,0.671997
Porch,local3,4-6-9-14-24,0.548890,0.696923
Playground,local3,0-11-14-15-24,0.389176,0.551208
Lunch_room,local3,1-3-6-11-15,0.394030,0.544928
Meeting_room,local3,4-8-9-11-22,0.509120,0.668123
Cantina,local3,0-2-8-13-18,0.468539,0.626681
Lounge,local3,3-5-6-11-18,0.513654,0.675725
Pots,local3,1-13-17-20-24,0.567052,0.715608
Garden,local3,0-5-10-16-22,0.507869,0.672879
Porch,local3,14-16-19-20-24,0.562582,0.711923
Playground,local3,0-2-11-14-18,0.446370,0.604120
Meeting_room,local3,0-2-7-8-16,0.478464,0.642903
Cantina,local3,3-7-13-14-17,0.423653,0.585673
Lounge,local3,5-6-9-11-18,0.509158,0.672138
Lunch_room,local3,1-2-3-5-6,0.371716,0.522486
Pots,local3,1-5-9-12-20,0.574225,0.725991
Garden,local3,0-5-15-18-23,0.494648,0.661199
Porch,local3,12-14-15-21-24,0.543144,0.688288
Playground,local3,0-2-11-15-21,0.434833,0.592974
Meeting_room,local3,2-4-16-22-24,0.505096,0.664380
Cantina,local3,3-10-13-15-18,0.515326,0.672050
